Taxonomy,Species,Zone_1_2025_Leary Primer,Zone_2A_2025_Leary Primer,Zone_2B_2025_Leary Primer,Zone_1_2025_Leray full set,Zone_2A_2025_Leray full set,Zone_2B_2025_Leray full set,Zone_3_2025_Leray full set,Zone_1_2025_New Primer,Zone_2A_2025_New Primer,Zone_2B_2025_New Primer,Singh et al. 2000
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Semibalanus;s__Semibalanus balanoides (northern acorn barnacle),Semibalanus balanoides,0,0,0,25,22,18,15,81,240,221,1
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages hamatus (copepods),Centropages hamatus,0,0,0,0,3,0,521,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Laomedea;s__Laomedea flexuosa (hydrozoans),Laomedea flexuosa,0,0,0,468,0,9,12,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Nereididae;g__Alitta;s__Alitta virens (sandworms),Alitta virens,17,20,0,83,42,28,6,213,30,0,1
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Paracalanidae;g__Paracalanus;s__Paracalanus parvus (copepods),Paracalanus parvus,0,0,0,0,362,54,0,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Terebellidae;g__Pista;s__Pista maculata (polychaetes),Pista maculata,0,0,0,0,312,0,0,0,0,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Flustridae;g__Flustra;s__Flustra foliacea (greater hornwrack),Flustra foliacea,0,32,15,10,60,42,97,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__;f__Maldanidae;g__Clymenella;s__Clymenella torquata (bamboo worm),Clymenella torquata,16,12,0,174,43,9,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod),Microgadus tomcod,38,0,0,201,0,0,5,0,0,0,1
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Corophiidae;g__Corophium;s__Corophium volutator (beach hoppers, scuds and well shrimps)",Corophium volutator,40,0,0,162,10,0,4,0,0,0,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog),Fundulus heteroclitus,18,0,0,129,37,7,7,0,0,0,1
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Pseudocalanus;s__Pseudocalanus newmani (copepods),Pseudocalanus newmani,0,0,0,126,0,0,68,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Sertulariidae;g__Dynamena;s__Dynamena pumila (hydrozoans),Dynamena pumila,4,0,5,29,6,77,45,0,0,0,1
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Cyclopoida;f__Oithonidae;g__Oithona;s__Oithona similis (copepods),Oithona similis,0,0,0,31,9,0,0,30,0,64,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia dichotoma (sea thread hydroid),Obelia dichotoma,0,0,0,118,14,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Cancridae;g__Cancer;s__Cancer borealis (Jonah crab),Cancer borealis,0,0,0,0,0,0,0,0,47,85,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt),Osmerus mordax,31,0,0,68,6,0,6,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Terebellidae;g__Nicolea;s__Nicolea zostericola (polychaetes),Nicolea zostericola,0,6,3,0,60,18,21,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia geniculata (knotted thread hydroid),Obelia geniculata,0,21,17,0,21,42,0,0,0,0,0
k__Metazoa;p__Hemichordata;c__Enteropneusta;o__unclassified Enteropneusta order;f__Harrimaniidae;g__Stereobalanus;s__Stereobalanus canadensis (acorn worms),Stereobalanus canadensis,0,0,0,0,0,0,0,0,9,82,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Alcyonidiidae;g__Alcyonidium;s__Alcyonidium polyoum (bryozoans),Alcyonidium polyoum,0,0,0,73,5,0,7,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Polydora;s__Polydora cornuta (polychaetes),Polydora cornuta,23,0,0,47,5,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Carcinidae;g__Carcinus;s__Carcinus maenas (green crab),Carcinus maenas,14,0,0,32,15,2,4,0,0,0,1
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Calycella;s__Calycella syringa (hydrozoans),Calycella syringa,0,0,0,0,7,0,41,0,0,0,0
k__Metazoa;p__Porifera;c__Demospongiae;o__Suberitida;f__Halichondriidae;g__Halichondria;s__Halichondria panicea (sponges),Halichondria panicea,0,0,0,17,8,18,0,0,0,0,1
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Amphibalanus;s__Amphibalanus improvisus (acorn barnacles),Amphibalanus improvisus,0,0,0,16,14,6,3,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Syllidae;g__Myrianida;s__Myrianida prolifera (polychaetes),Myrianida prolifera,3,0,6,6,4,6,0,10,0,3,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Menidia;s__Menidia menidia (Atlantic silverside),Menidia menidia,4,6,0,11,13,0,0,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Eunicida;f__Lumbrineridae;g__Ninoe;s__Ninoe nigripes (polychaetes),Ninoe nigripes,0,0,0,0,15,3,8,0,0,0,1
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Littorinidae;g__Littorina;s__Littorina obtusata (gastropods),Littorina obtusata,10,0,0,14,0,0,0,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Marenzelleria;s__Marenzelleria viridis (polychaetes),Marenzelleria viridis,0,0,0,24,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden),Brevoortia tyrannus,0,0,0,0,2,21,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Littorinidae;g__Littorina;s__Littorina saxatilis (gastropods),Littorina saxatilis,0,0,0,7,0,0,13,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Flabelligeridae;g__Pherusa;s__Pherusa affinis (polychaetes),Pherusa affinis,0,0,0,0,16,0,5,0,0,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Vesiculariidae;g__Amathia;s__Amathia gracilis (bryozoans),Amathia gracilis,0,0,0,15,0,0,3,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Siphonophorae;f__Agalmatidae;g__Nanomia;s__Nanomia cara (siphonophores),Nanomia cara,0,0,0,3,4,5,5,0,0,0,0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Squaliformes;f__Squalidae;g__Squalus;s__Squalus acanthias (spiny dogfish),Squalus acanthias,0,0,0,6,0,8,3,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Cirratulidae;g__Dodecaceria;s__Dodecaceria concharum (polychaetes),Dodecaceria concharum,0,0,0,17,0,0,0,0,0,0,0
k__Metazoa;p__Annelida;c__Clitellata;o__Tubificida;f__Naididae;g__Tubificoides;s__Tubificoides benedii (sludge worms),Tubificoides benedii,0,0,0,16,0,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Branchiopoda;o__Diplostraca;f__Podonidae;g__Evadne;s__Evadne nordmanni (water fleas),Evadne nordmanni,0,0,0,0,10,0,4,0,0,0,0
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Corophiidae;g__Monocorophium;s__Monocorophium insidiosum (beach hoppers, scuds and well shrimps)",Monocorophium insidiosum,0,0,0,13,0,0,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Myida;f__Myidae;g__Mya;s__Mya arenaria (softshell),Mya arenaria,0,0,0,12,0,0,0,0,0,0,1
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Bugulidae;g__Dendrobeania;s__Dendrobeania murrayana (bryozoans),Dendrobeania murrayana,0,0,0,0,7,0,5,0,0,0,0
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Talitridae;g__Orchestia;s__Orchestia grillus (beach hoppers, scuds and well shrimps)",Orchestia grillus,0,0,0,9,0,0,2,0,0,0,1
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Gonothyraea;s__Gonothyraea loveni (hydrozoans),Gonothyraea loveni,0,0,0,12,0,0,0,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Tubulariidae;g__Tubularia;s__Tubularia indivisa (hydrozoans),Tubularia indivisa,0,0,0,0,4,0,8,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Nereididae;g__Hediste;s__Hediste diversicolor (sandworms),Hediste diversicolor,0,0,0,6,0,0,4,0,0,0,1
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Vesiculariidae;g__Amathia;s__Amathia imbricata (bryozoans),Amathia imbricata,0,0,0,3,6,2,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Lacunidae;g__Lacuna;s__Lacuna vincta (gastropods),Lacuna vincta,0,0,0,0,6,0,4,0,0,0,1
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Hydractiniidae;g__Clava;s__Clava multicornis (club hydroid),Clava multicornis,0,0,0,6,0,0,5,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Pseudopleuronectes;s__Pseudopleuronectes americanus (winter flounder),Pseudopleuronectes americanus,0,0,0,0,9,0,0,0,0,0,1
k__Metazoa;p__Echinodermata;c__Asteroidea;o__Forcipulatida;f__Asteriidae;g__Leptasterias;s__Leptasterias littoralis (six-rayed sea stars),Leptasterias littoralis,0,0,0,0,2,7,0,0,0,0,1
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Candidae;g__Caberea;s__Caberea ellisii (bryozoans),Caberea ellisii,0,0,0,0,3,7,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zoarcidae;g__Zoarces;s__Zoarces americanus (ocean pout),Zoarces americanus,0,0,0,0,6,0,3,0,0,0,0
k__Metazoa;p__Mollusca;c__Cephalopoda;o__Oegopsida;f__Ommastrephidae;g__Illex;s__Illex coindetii (arrow squids),Illex coindetii,0,0,0,0,3,0,6,0,0,0,0
k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Phocoenidae;g__Phocoena;s__Phocoena phocoena (harbor porpoise),Phocoena phocoena,0,0,0,4,3,0,0,0,0,0,0
k__Metazoa;p__Echinodermata;c__Echinoidea;o__Clypeasteroida;f__Echinarachniidae;g__Echinarachnius;s__Echinarachnius parma (sand dollars),Echinarachnius parma,0,0,0,4,3,0,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Nudibranchia;f__Onchidorididae;g__Onchidoris;s__Onchidoris muricata (gastropods),Onchidoris muricata,0,0,0,3,0,3,0,0,0,0,0
,Gammarus lawrencianus,0,0,0,0,0,0,0,0,0,0,1
,Modiolus modiolus,0,0,0,0,0,0,0,0,0,0,1
,Strongylocentrotus droebachiensis,0,0,0,0,0,0,0,0,0,0,1
,Henricia sanguinolenta,0,0,0,0,0,0,0,0,0,0,1
,Mytilus edulis,0,0,0,0,0,0,0,0,0,0,1
,Anguilla rostrata,0,0,0,0,0,0,0,0,0,0,1
,Siphonenteron bicolour,0,0,0,0,0,0,0,0,0,0,1
,Capitella capitata,0,0,0,0,0,0,0,0,0,0,1
,Balanus balanus,0,0,0,0,0,0,0,0,0,0,1
,Balanus crenatus,0,0,0,0,0,0,0,0,0,0,1
,Pleurobrachia pileus,0,0,0,0,0,0,0,0,0,0,1
,Placopecten magellanicus,0,0,0,0,0,0,0,0,0,0,1
,Littorina littorea,0,0,0,0,0,0,0,0,0,0,1
