Taxonomy,Species,Zone_1_2022,Zone_2A_2022,Zone_2B_2022,Zone_3_2022,Zone_1_2023,Zone_2A_2023,Zone_2B_2023,Zone_3_2023,Zone_1_2024,Zone_2A_2024,Zone_2B_2024,Zone_3_2024,Cooper et al. 2021,Ipsen et al. 2013,Arens et al. 2007,Singh et al. 2000,NA_2025
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Phycidae;g__Urophycis;s__Urophycis chuss (red hake),Urophycis chuss,0,0,49,2187196,0,0,0,0,0,0,0,0,0,0,1,1,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Tautogolabrus;s__Tautogolabrus adspersus (cunner),Tautogolabrus adspersus,0,0,4,1928475,0,0,0,0,174,65,106568,16021,0,0,1,0,73018
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Catostomidae;g__Catostomus;s__Catostomus commersonii (white sucker),Catostomus commersonii,0,0,0,0,2067147,0,0,0,22229,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa aestivalis (blueback shad),Alosa aestivalis,0,0,0,0,577360,254706,250823,116748,104430,342063,21329,30972,0,0,1,1,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa sapidissima (American shad),Alosa sapidissima,0,0,1605706,3,0,0,0,0,8114,6448,8756,7259,0,0,1,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Pseudopleuronectes;s__Pseudopleuronectes americanus (winter flounder),Pseudopleuronectes americanus,0,0,0,0,421643,168388,0,0,30907,69058,36,36704,1,1,1,1,284159
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt),Osmerus mordax,66925,195568,0,0,44165,0,0,0,65720,96428,40204,14931,1,1,1,1,275060
k__Metazoa;p__Chordata;c__Actinopteri;o__unclassified Actinopteri order;f__Moronidae;g__Morone;s__Morone saxatilis (striped sea-bass),Morone saxatilis,0,0,0,0,144011,105811,0,0,54066,2276,0,5,1,0,0,0,93025
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Pholidae;g__Pholis;s__Pholis gunnellus (rock gunnel),Pholis gunnellus,0,0,0,0,0,0,0,0,143,28626,63528,25398,0,1,0,1,129062
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Phycidae;g__Urophycis;s__Urophycis tenuis (white hake),Urophycis tenuis,0,0,0,0,0,0,0,0,44697,68479,14819,7100,1,1,1,0,46241
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cryptacanthodidae;g__Cryptacanthodes;s__Cryptacanthodes maculatus (wrymouth),Cryptacanthodes maculatus,0,0,0,0,0,0,0,0,7580,32437,12974,5980,0,0,0,0,60815
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__Gadus morhua (Atlantic cod),Gadus morhua,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,110563
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Rajiformes;f__Rajidae;g__Leucoraja;s__Leucoraja ocellata (winter skate),Leucoraja ocellata,0,0,0,0,0,0,0,0,39,83694,28,22,0,0,0,0,4395
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zoarcidae;g__Zoarces;s__Zoarces americanus (ocean pout),Zoarces americanus,0,0,0,0,0,0,0,0,2721,6912,9719,14431,0,0,0,1,42483
k__Metazoa;p__Chordata;c__Actinopteri;o__Acipenseriformes;f__Acipenseridae;g__Acipenser;s__Acipenser oxyrinchus (Atlantic sturgeon),Acipenser oxyrinchus,0,0,0,0,0,0,0,0,11380,10457,0,6103,1,0,0,0,45994
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Myoxocephalus;s__Myoxocephalus aenaeus (grubby sculpin),Myoxocephalus aenaeus,0,0,0,0,0,0,0,0,0,0,8,27955,0,0,1,0,38376
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Agonidae;g__Hemitripterus;s__Hemitripterus americanus (sea raven),Hemitripterus americanus,0,0,0,0,0,0,0,0,7,5992,23785,8,0,1,0,1,32310
k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Phocoenidae;g__Phocoena;s__Phocoena phocoena (harbor porpoise),Phocoena phocoena,31086,0,0,0,511,1386,0,0,16098,564,241,3167,0,0,0,0,2514
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Rajiformes;f__Rajidae;g__Leucoraja;s__Leucoraja erinaceus (little skate),Leucoraja erinaceus,0,0,0,0,0,0,0,0,6290,3766,4175,17592,0,0,0,0,6706
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Myoxocephalus;s__Myoxocephalus thompsonii (deepwater sculpin),Myoxocephalus thompsonii,0,0,0,0,0,0,0,0,2934,10031,0,23486,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Stichaeidae;g__Eumesogrammus;s__Eumesogrammus praecisus (fourline snakeblenny),Eumesogrammus praecisus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31912
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cyclopteridae;g__Cyclopterus;s__Cyclopterus lumpus (lumpfish),Cyclopterus lumpus,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,31514
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Myoxocephalus;s__Myoxocephalus scorpius (shorthorn sculpin),Myoxocephalus scorpius,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,29617
k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Phocidae;g__Phoca;s__Phoca vitulina (harbor seal),Phoca vitulina,0,0,0,0,7947,0,0,1078,0,0,0,0,0,0,0,0,20343
k__Metazoa;p__Echinodermata;c__Asteroidea;o__Forcipulatida;f__Asteriidae;g__Asterias;s__Asterias rubens (European starfish),Asterias rubens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27668
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Gasterosteidae;g__Apeltes;s__Apeltes quadracus (fourspine stickleback),Apeltes quadracus,0,0,0,0,0,0,0,0,6196,0,0,0,0,0,1,0,21117
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Pollachius;s__Pollachius virens (saithe),Pollachius virens,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,20664
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Gasterosteidae;g__Gasterosteus;s__Gasterosteus wheatlandi (blackspotted stickleback),Gasterosteus wheatlandi,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19531
k__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Lophiidae;g__Lophius;s__Lophius americanus (American angler),Lophius americanus,0,0,0,0,0,0,0,0,0,0,15075,4,0,0,0,0,0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Squaliformes;f__Squalidae;g__Squalus;s__Squalus acanthias (spiny dogfish),Squalus acanthias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11425
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Merlucciidae;g__Merluccius;s__Merluccius bilinearis (silver hake),Merluccius bilinearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9968
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Sprattus;s__Sprattus sprattus (European sprat),Sprattus sprattus,0,0,0,0,2008,0,2651,711,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Lamniformes;f__Alopiidae;g__Alopias;s__Alopias vulpinus (thresher shark),Alopias vulpinus,0,0,0,0,0,0,0,0,0,2,0,2968,0,0,0,0,1976
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Semotilus;s__Semotilus atromaculatus (creek chub),Semotilus atromaculatus,0,0,0,0,0,0,0,0,3559,0,2,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Rhinichthys;s__Rhinichthys atratulus (blacknose dace),Rhinichthys atratulus,0,0,0,0,0,0,0,0,2419,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Lamniformes;f__Alopiidae;g__Carcharodon;s__Carcharodon carcharias (great white shark),Carcharodon carcharias,0,0,0,0,0,0,0,0,0,0,842,1378,0,0,0,0,0
k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Phocidae;g__Halichoerus;s__Halichoerus grypus (gray seal),Halichoerus grypus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Reinhardtius;s__Reinhardtius hippoglossoides (Greenland flounder),Reinhardtius hippoglossoides,80,21,49,45,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Sebastidae;g__Sebastes;s__Sebastes mentella (deepwater redfish),Sebastes mentella,11,2,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__Ammodytes dubius (northern sand lance),Ammodytes dubius,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gasterosteus aculeatus,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
,Mallotus villosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,Pungitius pungitius,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,Ammodytes sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,Myzopsetta ferruginea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Salvelinus fontinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Myoxocephalus octodecemspinosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Fundulus diaphanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Liopsetta putnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
