Taxonomy,Species,Zone_1_2025_Leray,Zone_2A_2025_Leray,Zone_2B_2025_Leray,Zone_1_2025_New Primer,Zone_2A_2025_New Primer,Zone_2B_2025_New Primer,2025 All data
k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Menidia;s__Menidia menidia (Atlantic silverside),Menidia menidia,4,6,0,0,0,0,1
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Littorinidae;g__Littorina;s__Littorina obtusata (gastropods),Littorina obtusata,10,0,0,0,0,0,1
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Sertulariidae;g__Dynamena;s__Dynamena pumila (hydrozoans),Dynamena pumila,4,0,5,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Terebellidae;g__Nicolea;s__Nicolea zostericola (polychaetes),Nicolea zostericola,0,6,3,0,0,0,1
,Obelia dichotoma,0,0,0,0,0,0,1
,Nanomia cara,0,0,0,0,0,0,1
,Nephtys caeca,0,0,0,0,0,0,1
,Ninoe nigripes,0,0,0,0,0,0,1
,Ophelina acuminata,0,0,0,0,0,0,1
,Myxine limosa,0,0,0,0,0,0,1
,Myxine glutinosa,0,0,0,0,0,0,1
,Onchidoris bilamellata,0,0,0,0,0,0,1
,Onchidoris muricata,0,0,0,0,0,0,1
,Nereis pelagica,0,0,0,0,0,0,1
,Neochildia fusca,0,0,0,0,0,0,1
,Neomysis americana,0,0,0,0,0,0,1
,Acanthodoris pilosa,0,0,0,0,0,0,1
,Orchestia grillus,0,0,0,0,0,0,1
,Paracalanus parvus,0,0,0,0,0,0,1
,Urophycis tenuis,0,0,0,0,0,0,1
,Tubularia indivisa,0,0,0,0,0,0,1
,Tubificoides benedii,0,0,0,0,0,0,1
,Tetrastemma candidum,0,0,0,0,0,0,1
,Terebellides stroemii,0,0,0,0,0,0,1
,Tautogolabrus adspersus,0,0,0,0,0,0,1
,Strongylocentrotus droebachiensis,0,0,0,0,0,0,1
,Sternaspis scutata,0,0,0,0,0,0,1
,Squalus acanthias,0,0,0,0,0,0,1
,Scomber scombrus,0,0,0,0,0,0,1
,Pseudopleuronectes americanus,0,0,0,0,0,0,1
,Pseudocalanus newmani,0,0,0,0,0,0,1
,Pseudocalanus moultoni,0,0,0,0,0,0,1
,Priapulus caudatus,0,0,0,0,0,0,1
,Pontogeneia inermis,0,0,0,0,0,0,1
,Polycirrus eximius,0,0,0,0,0,0,1
,Pleopis polyphemoides,0,0,0,0,0,0,1
,Pista maculata,0,0,0,0,0,0,1
,Phocoena phocoena,0,0,0,0,0,0,1
,Pherusa affinis,0,0,0,0,0,0,1
,Parasagitta elegans,0,0,0,0,0,0,1
,Mytilus trossulus,0,0,0,0,0,0,1
,Littorina saxatilis,0,0,0,0,0,0,1
,Mya arenaria,0,0,0,0,0,0,1
,Dodecaceria concharum,0,0,0,0,0,0,1
,Clytia hemisphaerica,0,0,0,0,0,0,1
,Clupea harengus,0,0,0,0,0,0,1
,Clava multicornis,0,0,0,0,0,0,1
,Chone infundibuliformis,0,0,0,0,0,0,1
,Centropages hamatus,0,0,0,0,0,0,1
,Capitella capitata,0,0,0,0,0,0,1
,Cancer irroratus,0,0,0,0,0,0,1
,Calycella syringa,0,0,0,0,0,0,1
,Caberea ellisii,0,0,0,0,0,0,1
,Brevoortia tyrannus,0,0,0,0,0,0,1
,Brevoortia patronus,0,0,0,0,0,0,1
,Bougainvillia muscus,0,0,0,0,0,0,1
,Boltenia echinata,0,0,0,0,0,0,1
,Balanus crenatus,0,0,0,0,0,0,1
,Balanus balanus,0,0,0,0,0,0,1
,Apeltes quadracus,0,0,0,0,0,0,1
,Anobothrus gracilis,0,0,0,0,0,0,1
,Amphibalanus improvisus,0,0,0,0,0,0,1
,Amathia imbricata,0,0,0,0,0,0,1
,Amathia gracilis,0,0,0,0,0,0,1
,Alderia modesta,0,0,0,0,0,0,1
,Dendrobeania murrayana,0,0,0,0,0,0,1
,Echinarachnius parma,0,0,0,0,0,0,1
,Morone saxatilis,0,0,0,0,0,0,1
,Eubranchus exiguus,0,0,0,0,0,0,1
,Monocorophium insidiosum,0,0,0,0,0,0,1
,Modiolus modiolus,0,0,0,0,0,0,1
,Marenzelleria viridis,0,0,0,0,0,0,1
,Alcyonidium polyoum,0,0,0,0,0,0,1
,Littorina littorea,0,0,0,0,0,0,1
,Leucoraja erinaceus,0,0,0,0,0,0,1
,Leuckartiara octona,0,0,0,0,0,0,1
,Leptasterias littoralis,0,0,0,0,0,0,1
,Laomedea flexuosa,0,0,0,0,0,0,1
,Lafoea dumosa,0,0,0,0,0,0,1
,Lacuna vincta,0,0,0,0,0,0,1
,Ilyanassa trivittata,0,0,0,0,0,0,1
,Illex coindetii,0,0,0,0,0,0,1
,Hediste diversicolor,0,0,0,0,0,0,1
,Haliclystus auricula,0,0,0,0,0,0,1
,Halichondria panicea,0,0,0,0,0,0,1
,Gonothyraea loveni,0,0,0,0,0,0,1
,Gammarus mucronatus,0,0,0,0,0,0,1
,Flustrellidra hispida,0,0,0,0,0,0,1
,Evadne nordmanni,0,0,0,0,0,0,1
,Eubranchus tricolor,0,0,0,0,0,0,1
,Zoarces americanus,0,0,0,0,0,0,1
