4d3b0460f538b3c4adec6fc7c690bd0d	gi|2413015895|gb|CP104059.1|	93.562	100	6.11e-91	233	195108	Fusarium falciforme	ascomycete fungi	Fusarium falciforme
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|963775403|gb|KT361035.1|	91.304	100	2.42e-90	253	485697	Eimeria lancasterensis	apicomplexans	Eimeria lancasterensis
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|2281559021|ref|NC_065382.1|	91.304	100	2.42e-90	253	2812799	Isospora picoflavae	apicomplexans	Isospora picoflavae
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|1779411655|gb|MN167470.1|	90.909	100	1.13e-88	253	2594421	Caryospora sp. RoY-2019a	apicomplexans	Caryospora sp. RoY-2019a
3ab472d7f28bccf3c87966a850ef49ba	gi|2274299467|gb|OL999214.1|	91.667	99	1.87e-91	252	1743397	Isospora sp.	apicomplexans	Isospora sp.
3ab472d7f28bccf3c87966a850ef49ba	gi|2274299425|gb|OL999193.1|	91.667	99	1.87e-91	252	1743397	Isospora sp.	apicomplexans	Isospora sp.
3ab472d7f28bccf3c87966a850ef49ba	gi|2274299417|gb|OL999189.1|	91.667	99	1.87e-91	252	1743397	Isospora sp.	apicomplexans	Isospora sp.
3ab472d7f28bccf3c87966a850ef49ba	gi|2274299415|gb|OL999188.1|	91.667	99	1.87e-91	252	1743397	Isospora sp.	apicomplexans	Isospora sp.
3ab472d7f28bccf3c87966a850ef49ba	gi|2274299399|gb|OL999180.1|	91.667	99	1.87e-91	252	1743397	Isospora sp.	apicomplexans	Isospora sp.
3ab472d7f28bccf3c87966a850ef49ba	gi|2274299363|gb|OL999162.1|	91.667	99	1.87e-91	252	1743397	Isospora sp.	apicomplexans	Isospora sp.
3ab472d7f28bccf3c87966a850ef49ba	gi|2274299359|gb|OL999160.1|	91.667	99	1.87e-91	252	1743397	Isospora sp.	apicomplexans	Isospora sp.
3ab472d7f28bccf3c87966a850ef49ba	gi|2274299357|gb|OL999159.1|	91.667	99	1.87e-91	252	1743397	Isospora sp.	apicomplexans	Isospora sp.
3ab472d7f28bccf3c87966a850ef49ba	gi|2255432901|gb|OK194672.1|	91.667	99	1.87e-91	252	2952508	Isospora coerebae	apicomplexans	Isospora coerebae
3ab472d7f28bccf3c87966a850ef49ba	gi|525678204|gb|JQ993711.1|	91.667	99	1.87e-91	252	1302428	Isospora sp. ex Apodemus flavicollis	apicomplexans	Isospora sp. ex Apodemus flavicollis
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|2743737612|emb|OZ076278.1|	100.000	99	9.86e-88	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|2743737590|emb|OZ076256.1|	100.000	99	9.86e-88	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|2743737526|emb|OZ076192.1|	100.000	99	9.86e-88	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|2743737505|emb|OZ076171.1|	100.000	99	9.86e-88	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|2743737484|emb|OZ076150.1|	100.000	99	9.86e-88	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|2743737462|emb|OZ076128.1|	100.000	99	9.86e-88	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|612391918|ref|XM_007511418.1|	100.000	99	9.86e-88	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|392513445|emb|FO082271.1|	100.000	99	9.86e-88	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|2743737440|emb|OZ076106.1|	99.451	99	4.59e-86	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
ad74df4b1ead29a4b94c66a7f4b8a4d4	gi|2743794582|emb|OZ075448.3|	99.451	99	1.65e-85	182	41875	Bathycoccus prasinos	green algae	Bathycoccus prasinos
e51277ea8a2fc9e82f57913e6785160f	gi|759083532|gb|KM222149.1|	98.381	98	5.02e-117	247	1242177	Pelagostrobilidium minutum	ciliates	Pelagostrobilidium minutum
e51277ea8a2fc9e82f57913e6785160f	gi|2456623864|gb|OQ616973.1|	96.761	98	2.35e-110	247	3034311	Pelagostrobilidium simile	ciliates	Pelagostrobilidium simile
e51277ea8a2fc9e82f57913e6785160f	gi|759083531|gb|KM222148.1|	95.547	98	2.37e-105	247	1607853	Strombidinopsis batos	ciliates	Strombidinopsis batos
e51277ea8a2fc9e82f57913e6785160f	gi|2283605183|gb|OP175938.1|	93.976	98	3.09e-99	249	2876852	Pseudosincirra longicirrata	ciliates	Pseudosincirra longicirrata
e51277ea8a2fc9e82f57913e6785160f	gi|1057446262|gb|KX158691.1|	93.927	98	1.11e-98	247	1572338	uncultured Tintinnida	ciliates	uncultured Tintinnida
e51277ea8a2fc9e82f57913e6785160f	gi|1057446250|gb|KX158679.1|	93.927	98	1.11e-98	247	1572338	uncultured Tintinnida	ciliates	uncultured Tintinnida
e51277ea8a2fc9e82f57913e6785160f	gi|1905139243|gb|MW011752.1|	93.927	98	1.11e-98	247	513204	Amphorellopsis acuta	ciliates	Amphorellopsis acuta
e51277ea8a2fc9e82f57913e6785160f	gi|2456623860|gb|OQ616972.1|	93.927	98	3.99e-98	247	3034312	Parastrombidinopsis costalis	ciliates	Parastrombidinopsis costalis
e51277ea8a2fc9e82f57913e6785160f	gi|759083533|gb|KM222150.1|	93.522	98	5.16e-97	247	702563	Rimostrombidium veniliae	ciliates	Rimostrombidium veniliae
e51277ea8a2fc9e82f57913e6785160f	gi|2456623856|gb|OQ616971.1|	93.522	98	1.86e-96	247	373401	Parastrombidinopsis minima	ciliates	Parastrombidinopsis minima
cd360355eec10d36dae376f49891ef41	gi|759083532|gb|KM222149.1|	99.190	98	2.32e-120	247	1242177	Pelagostrobilidium minutum	ciliates	Pelagostrobilidium minutum
cd360355eec10d36dae376f49891ef41	gi|2456623864|gb|OQ616973.1|	97.571	98	1.09e-113	247	3034311	Pelagostrobilidium simile	ciliates	Pelagostrobilidium simile
cd360355eec10d36dae376f49891ef41	gi|759083531|gb|KM222148.1|	96.356	98	1.09e-108	247	1607853	Strombidinopsis batos	ciliates	Strombidinopsis batos
cd360355eec10d36dae376f49891ef41	gi|2283605183|gb|OP175938.1|	94.779	98	1.43e-102	249	2876852	Pseudosincirra longicirrata	ciliates	Pseudosincirra longicirrata
cd360355eec10d36dae376f49891ef41	gi|1057446262|gb|KX158691.1|	94.737	98	5.13e-102	247	1572338	uncultured Tintinnida	ciliates	uncultured Tintinnida
cd360355eec10d36dae376f49891ef41	gi|1057446250|gb|KX158679.1|	94.737	98	5.13e-102	247	1572338	uncultured Tintinnida	ciliates	uncultured Tintinnida
cd360355eec10d36dae376f49891ef41	gi|1905139243|gb|MW011752.1|	94.737	98	5.13e-102	247	513204	Amphorellopsis acuta	ciliates	Amphorellopsis acuta
cd360355eec10d36dae376f49891ef41	gi|2456623860|gb|OQ616972.1|	94.737	98	1.84e-101	247	3034312	Parastrombidinopsis costalis	ciliates	Parastrombidinopsis costalis
cd360355eec10d36dae376f49891ef41	gi|759083533|gb|KM222150.1|	94.332	98	2.39e-100	247	702563	Rimostrombidium veniliae	ciliates	Rimostrombidium veniliae
cd360355eec10d36dae376f49891ef41	gi|2456623856|gb|OQ616971.1|	94.332	98	8.58e-100	247	373401	Parastrombidinopsis minima	ciliates	Parastrombidinopsis minima
8e1f8b6f87a42193e50be18717ed8503	gi|1827635568|dbj|LC500256.1|	90.000	91	6.87e-76	230	2650034	Eimeria sp. I-461	apicomplexans	Eimeria sp. I-461
3b756c8b53b61204bf2217ff2a9a0e57	gi|1827635568|dbj|LC500256.1|	90.435	91	1.48e-77	230	2650034	Eimeria sp. I-461	apicomplexans	Eimeria sp. I-461
3b756c8b53b61204bf2217ff2a9a0e57	gi|2545936223|gb|OQ652142.1|	90.000	91	6.87e-76	230	3034937	Eimeria prionotemni	apicomplexans	Eimeria prionotemni
297b702b0d36c9e098053f90044b609d	gi|326366285|gb|HQ864834.1|	100.000	100	4.95e-127	253	995024	Mytilus edulis complex sp. DC-2011	bivalves	Mytilus edulis complex sp. DC-2011
297b702b0d36c9e098053f90044b609d	gi|326366287|gb|HQ864835.1|	99.605	100	6.40e-126	253	995024	Mytilus edulis complex sp. DC-2011	bivalves	Mytilus edulis complex sp. DC-2011
297b702b0d36c9e098053f90044b609d	gi|1122285353|gb|KU697790.1|	99.605	100	2.30e-125	253	6551	Mytilus trossulus	bivalves	common blue mussel
297b702b0d36c9e098053f90044b609d	gi|162945276|gb|DQ198225.2|	99.605	100	2.30e-125	253	6551	Mytilus trossulus	bivalves	common blue mussel
297b702b0d36c9e098053f90044b609d	gi|357284315|gb|JN241970.1|	99.603	99	8.28e-125	252	6550	Mytilus edulis	bivalves	Mytilus edulis
297b702b0d36c9e098053f90044b609d	gi|671696106|gb|KM192129.1|	99.209	100	1.07e-123	253	6551	Mytilus trossulus	bivalves	common blue mussel
297b702b0d36c9e098053f90044b609d	gi|326366283|gb|HQ864833.1|	99.206	99	3.85e-123	252	995024	Mytilus edulis complex sp. DC-2011	bivalves	Mytilus edulis complex sp. DC-2011
297b702b0d36c9e098053f90044b609d	gi|2868137886|gb|PQ739438.1|	98.419	100	1.39e-122	253	6550	Mytilus edulis	bivalves	Mytilus edulis
297b702b0d36c9e098053f90044b609d	gi|300226163|gb|HM386482.1|	99.203	99	1.39e-122	251	6550	Mytilus edulis	bivalves	Mytilus edulis
297b702b0d36c9e098053f90044b609d	gi|2868138140|gb|PQ739565.1|	98.814	100	4.98e-122	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|294799510|gb|GU570478.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|294799500|gb|GU570473.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|294799558|gb|GU570502.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|294799554|gb|GU570500.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|294799532|gb|GU570489.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|168252800|gb|EU332497.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|168252796|gb|EU332495.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|168252792|gb|EU332493.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|168252788|gb|EU332491.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0bfba3e136ec394ba1d334b561f85cca	gi|168252784|gb|EU332489.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|294799554|gb|GU570500.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|294799532|gb|GU570489.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|168252800|gb|EU332497.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|168252796|gb|EU332495.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|168252792|gb|EU332493.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|168252788|gb|EU332491.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|168252784|gb|EU332489.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|168252782|gb|EU332488.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|1035662353|gb|KU905965.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
0b0cf38dede1972e16c41ff62a81ae70	gi|294799598|gb|GU570522.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|294799554|gb|GU570500.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|294799532|gb|GU570489.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|168252800|gb|EU332497.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|168252796|gb|EU332495.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|168252792|gb|EU332493.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|168252788|gb|EU332491.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|168252784|gb|EU332489.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|168252782|gb|EU332488.1|	99.209	100	1.07e-123	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|1035662353|gb|KU905965.1|	98.814	100	4.98e-122	253	6550	Mytilus edulis	bivalves	Mytilus edulis
55ef3b238bea76f7951b2a2751e3a0f6	gi|294799598|gb|GU570522.1|	98.814	100	4.98e-122	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|294799554|gb|GU570500.1|	100.000	100	4.95e-127	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|294799532|gb|GU570489.1|	100.000	100	4.95e-127	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|168252800|gb|EU332497.1|	100.000	100	4.95e-127	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|168252796|gb|EU332495.1|	100.000	100	4.95e-127	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|168252792|gb|EU332493.1|	100.000	100	4.95e-127	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|168252788|gb|EU332491.1|	100.000	100	4.95e-127	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|168252784|gb|EU332489.1|	100.000	100	4.95e-127	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|168252782|gb|EU332488.1|	100.000	100	4.95e-127	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|1035662353|gb|KU905965.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b5a1d9d97e18ec3adc3f1091f8400c0c	gi|294799598|gb|GU570522.1|	99.605	100	2.30e-125	253	6550	Mytilus edulis	bivalves	Mytilus edulis
b41826cba252b0d54069029d28b74c70	gi|378781160|emb|FR837876.1|	95.652	100	1.09e-108	253	66402	Neochildia fusca	animals	Neochildia fusca
0efc7a8f3fd1790d0a133c5ef65e2e63	gi|2101441623|gb|MZ268992.1|	97.233	100	2.34e-115	253	2878440	Cyclopidae sp. CCG1_Katla	crustaceans	Cyclopidae sp. CCG1_Katla
849bc4e0371fcc6dd6426f7f16e006e1	gi|2101441623|gb|MZ268992.1|	97.233	100	2.34e-115	253	2878440	Cyclopidae sp. CCG1_Katla	crustaceans	Cyclopidae sp. CCG1_Katla
55e1fa2662dd93150daf0ac720383aac	gi|2101441623|gb|MZ268992.1|	97.628	100	5.02e-117	253	2878440	Cyclopidae sp. CCG1_Katla	crustaceans	Cyclopidae sp. CCG1_Katla
5d7531c38efcf218c1026d56adf573d4	gi|1509160131|gb|MG421206.1|	100.000	100	4.95e-127	253	714603	Nephtys caeca	segmented worms	Nephtys caeca
5d7531c38efcf218c1026d56adf573d4	gi|305653377|gb|HQ024111.1|	99.603	99	8.28e-125	252	880389	Nephtys sp. CMC02	segmented worms	Nephtys sp. CMC02
277fbb7da7442bdb07b45816b26c013b	gi|1043097205|gb|KR562378.1|	100.000	100	4.95e-127	253	1889682	Helochara sp. BOLD-2016	bugs	Helochara sp. BOLD-2016
277fbb7da7442bdb07b45816b26c013b	gi|835477373|gb|KR044207.1|	100.000	100	4.95e-127	253	320931	Helochara communis	bugs	Helochara communis
277fbb7da7442bdb07b45816b26c013b	gi|589060141|gb|KF920281.1|	100.000	100	4.95e-127	253	1464957	Helochara delta	bugs	Helochara delta
277fbb7da7442bdb07b45816b26c013b	gi|589059879|gb|KF920150.1|	100.000	100	4.95e-127	253	1464957	Helochara delta	bugs	Helochara delta
277fbb7da7442bdb07b45816b26c013b	gi|589059579|gb|KF920000.1|	100.000	100	4.95e-127	253	1464957	Helochara delta	bugs	Helochara delta
277fbb7da7442bdb07b45816b26c013b	gi|589059297|gb|KF919859.1|	100.000	100	4.95e-127	253	320931	Helochara communis	bugs	Helochara communis
277fbb7da7442bdb07b45816b26c013b	gi|589059267|gb|KF919844.1|	100.000	100	4.95e-127	253	320931	Helochara communis	bugs	Helochara communis
277fbb7da7442bdb07b45816b26c013b	gi|1352717074|gb|MG398919.1|	100.000	99	1.78e-126	252	2095550	Helochara sp. BARS_2016_2_217	bugs	Helochara sp. BARS_2016_2_217
277fbb7da7442bdb07b45816b26c013b	gi|1398209842|gb|MF829101.1|	100.000	99	1.78e-126	252	2180397	Helochara sp. BIOUG22199-E06	bugs	Helochara sp. BIOUG22199-E06
277fbb7da7442bdb07b45816b26c013b	gi|1061422509|gb|KR575448.1|	100.000	99	1.78e-126	252	1889682	Helochara sp. BOLD-2016	bugs	Helochara sp. BOLD-2016
65e77ac223bdd38dd244b74972539b48	gi|1199895506|ref|NC_034948.1|	98.810	99	1.79e-121	252	504439	Isodiametra pulchra	animals	Isodiametra pulchra
d6a569f7099f8b02bd9937d4cb57294d	gi|1199895506|ref|NC_034948.1|	98.810	99	1.79e-121	252	504439	Isodiametra pulchra	animals	Isodiametra pulchra
15b02f06b50301585d45fb9dfdcbd1da	gi|349588247|gb|JN029450.1|	98.419	100	2.32e-120	253	557316	Hygrocybe persistens	basidiomycete fungi	Hygrocybe persistens
15b02f06b50301585d45fb9dfdcbd1da	gi|2586993227|emb|OY742001.1|	90.909	100	1.13e-88	253	378274	Hygrocybe coccinea	basidiomycete fungi	Hygrocybe coccinea
15b02f06b50301585d45fb9dfdcbd1da	gi|349588235|gb|JN029444.1|	90.119	99	8.76e-85	253	104224	Hygrocybe conica	basidiomycete fungi	Hygrocybe conica
15b02f06b50301585d45fb9dfdcbd1da	gi|349588233|gb|JN029443.1|	90.119	99	8.76e-85	253	104224	Hygrocybe conica	basidiomycete fungi	Hygrocybe conica
15b02f06b50301585d45fb9dfdcbd1da	gi|349588243|gb|JN029448.1|	90.612	97	3.15e-84	245	182064	Hygrocybe miniata	basidiomycete fungi	Hygrocybe miniata
15b02f06b50301585d45fb9dfdcbd1da	gi|349588231|gb|JN029442.1|	90.833	95	4.08e-83	240	104224	Hygrocybe conica	basidiomycete fungi	Hygrocybe conica
15b02f06b50301585d45fb9dfdcbd1da	gi|349588241|gb|JN029447.1|	90.308	90	6.87e-76	227	182064	Hygrocybe miniata	basidiomycete fungi	Hygrocybe miniata
67414bce4bb80668763ac635c6965a3f	gi|189187603|gb|EU678467.1|	90.514	100	5.24e-87	253	78138	Myxotrichum deflexum	ascomycete fungi	Myxotrichum deflexum
aa83d866b951a09d8637b32bcb73ed59	gi|2431519976|ref|NC_070174.1|	91.270	99	8.70e-90	252	1664388	Pseudofabraea citricarpa	ascomycete fungi	Pseudofabraea citricarpa
aa83d866b951a09d8637b32bcb73ed59	gi|1847692839|ref|NC_048507.1|	90.476	99	1.88e-86	252	1955577	Antarctomyces pellizariae	ascomycete fungi	Antarctomyces pellizariae
aa83d866b951a09d8637b32bcb73ed59	gi|2577880326|ref|NC_082276.1|	90.476	99	1.88e-86	252	89416	Antarctomyces psychrotrophicus	ascomycete fungi	Antarctomyces psychrotrophicus
aa83d866b951a09d8637b32bcb73ed59	gi|195969288|gb|EU883400.1|	90.119	100	2.44e-85	253	164536;164539	Tetracladium apiense	ascomycete fungi	Tetracladium apiense
aa83d866b951a09d8637b32bcb73ed59	gi|189187583|gb|EU678457.1|	90.119	100	2.44e-85	253	290615	Leohumicola verrucosa	ascomycete fungi	Leohumicola verrucosa
aa83d866b951a09d8637b32bcb73ed59	gi|1150084095|ref|NC_033907.1|	90.079	99	8.76e-85	252	655981	Pseudogymnoascus destructans	ascomycete fungi	Pseudogymnoascus destructans
06081c470bd251659605d8ea766a8fdd	gi|2441426748|gb|OP501834.1|	100.000	100	4.95e-127	253	5762	Naegleria gruberi	eukaryotes	Naegleria gruberi
06081c470bd251659605d8ea766a8fdd	gi|11466174|ref|NC_002573.1|	99.209	100	1.07e-123	253	5762	Naegleria gruberi	eukaryotes	Naegleria gruberi
06081c470bd251659605d8ea766a8fdd	gi|2441426760|gb|OP501840.1|	90.514	100	5.24e-87	253	234912	Naegleria americana	eukaryotes	Naegleria americana
06081c470bd251659605d8ea766a8fdd	gi|2441426756|gb|OP501838.1|	90.514	100	5.24e-87	253	234912	Naegleria americana	eukaryotes	Naegleria americana
06081c470bd251659605d8ea766a8fdd	gi|2441426754|gb|OP501837.1|	90.514	100	5.24e-87	253	234912	Naegleria americana	eukaryotes	Naegleria americana
06081c470bd251659605d8ea766a8fdd	gi|2441426752|gb|OP501836.1|	90.514	100	5.24e-87	253	234912	Naegleria americana	eukaryotes	Naegleria americana
06081c470bd251659605d8ea766a8fdd	gi|2441426750|gb|OP501835.1|	90.119	100	2.44e-85	253	37103	Naegleria sp.	eukaryotes	Naegleria sp.
8e2a846e0c70d3fc2cb6ebb849130764	gi|189187585|gb|EU678458.1|	90.909	100	1.13e-88	253	290615	Leohumicola verrucosa	ascomycete fungi	Leohumicola verrucosa
8e2a846e0c70d3fc2cb6ebb849130764	gi|189187583|gb|EU678457.1|	90.909	100	1.13e-88	253	290615	Leohumicola verrucosa	ascomycete fungi	Leohumicola verrucosa
8e2a846e0c70d3fc2cb6ebb849130764	gi|189187505|gb|EU678418.1|	90.909	100	1.13e-88	253	290615	Leohumicola verrucosa	ascomycete fungi	Leohumicola verrucosa
8e2a846e0c70d3fc2cb6ebb849130764	gi|189187587|gb|EU678459.1|	90.514	100	5.24e-87	253	290615	Leohumicola verrucosa	ascomycete fungi	Leohumicola verrucosa
8e2a846e0c70d3fc2cb6ebb849130764	gi|189187581|gb|EU678456.1|	90.514	100	5.24e-87	253	290615	Leohumicola verrucosa	ascomycete fungi	Leohumicola verrucosa
